"HolderAddress","Balance","PendingBalanceUpdate"
"0xeb3397a5e368a33f5cf710ec53641efef7e56c92","186,877,209.667021338987810827","No"
"0x3e7b447e11fa062271893c270be9cfce1b42de5c","60,003,326.841326389689188986","No"
"0x53d071f5c7354726201454fae69081194a67bc4b","16,753,210.566603309128270088","No"
"0x0e46906f5c3add43b31d059273e67e443c2fd74b","14,121,927.285777340117411557","No"
"0x918371feba56517a94ecf905e6d4ab902df11b30","13,201,426.245068802867056234","No"
"0x2e0de34d9647ff2b6f651307457102246363c32e","11,888,727.150408272233695659","No"
"0x7e419697d3e17ef01166cb1b3bb3aae4300f71af","9,149,453.769825204959738485","No"
"0x76edeefb47104826178eb7b39f8be3f1978af43a","7,590,000","No"
"0x4a71f3a8a009b3ec3a7f4944abc2d3940228a437","7,147,040.141021165709096523","No"
"0xb471a5f5814ac2db8acd414c0d4a1ceef5cb2bb8","7,039,014.537987679671457906","No"
"0x4982085c9e2f89f2ecb8131eca71afad896e89cb","5,687,929.506973669839748603","No"
"0x7eb94b66d710148594a01a3fa80a7101fe1bbdf1","5,112,470.903749975915551841","No"
"0xf7bbe3da978e5746640c891eee73b466d798056e","5,042,736","No"
"0x5611e99fdb06ae212a468489a60660a83072cbd4","5,009,000","No"
"0xb87caa934cd849436ad6e36b35f0198096c059cc","4,968,749.62","No"
"0x96192e858433d73de3f2c7c3af2c29cf3a72f0fa","4,794,765.486768561576258823","No"
"0x025b47b7d0329f5e754a7053935e575095dc79ed","4,455,400.927442003094960719","No"
"0xd600d3c57481159f1a39621551684bef9f03d08d","4,022,659.938348061957357084","No"
"0x8a324379c09a89b46725c4ebeb6a9fc8522c0bfd","3,863,956.854863736516422819","No"
"0xcf2325db689ac9945dff564daed35b3bd1df05ad","3,185,550.082101806239737274","No"
"0x7d2c9828e6c84bf2f4011d1eec49a74e5e49b32a","3,052,833","No"
"0x4f47e18096ddfb7a355a8a571e1b76d766570601","3,012,095.302175516334251839","No"
"0x1380217c821f70bb7768eea8bdd54636e47e14c0","3,000,000","No"
"0x62cf01da33a4777e409e7022363cb0409ad29119","2,893,240.33858250310219057","No"
"0x9fb125d3b3cb8a5b8b7eff84b27b18186218956a","2,850,000","No"
"0x8bbbcbe0604d9f2a45b93987e63ca3bf361d22c9","2,822,235.695559604414066434","No"
"0x54427c853b20c6691f2aa9e1651402580068d503","2,764,066.683952426304694767","No"
"0x0c613d02e17cbe83d660827b223707278e94816a","2,753,963.258365057817273365","No"
"0xea4ca74e159cf3a083129b89291d3a25858e4a2b","1,931,409.079830746366489776","No"
"0xc23352c26fe7fa6556e790ed3ace42ee5582c5f5","1,814,136.290361634965244811","No"
"0x9055ad898f054a0b951a4921b3a37fea1c7f8e8a","1,803,551.83712596","No"
"0xea16d770a4818d2eb45d44ae94acd328c1eb5654","1,699,690.026298341249124092","No"
"0x21f61070e2408ee957f738a210d6f95387ff65e0","1,553,630.303338134741452559","No"
"0x2b9c39cc16fb7d42cab4f8cbd1884a929e12ae0d","1,535,735.97","No"
"0x493865b746e87164ac625213d4c8d0061cb7d923","1,500,084.980903710403053891","No"
"0x07a929d49e297aa8ab02acd13a67537299808b26","1,500,000","No"
"0x6c0ab26037c93a90c9b1d640f167e39dbca370d0","1,315,253.3834","No"
"0xdf20476d57ec39379fa4eb11b5541ae0232099e5","1,270,881.88574147608","No"
"0xdc2c89a950f490613c6d053b65a0f24c6d1ea9cb","1,203,596.370805894343072885","No"
"0xbaaf50e534e207e1def8efd722ebd95e313b2d65","1,194,947.66562817808651879","No"
"0x3a6f95633b4564fc85470dff306f47898d924de0","1,061,175.19","No"
"0x723b9903db18c04f4360b80b2a67b16f2a65fada","1,054,073.18","No"
"0xb955eeba98b48a0c0a97af0302fe05d9e1eb4bc0","1,043,173.764888475329268057","No"
"0x2d21e8fc0af66f51ef6ce8048ecc4eb993e4ecaa","1,041,599.61","No"
"0x687d936fe03762d6eb4bc54ffdb1b2e0ff800f40","1,012,241.231929328723570689","No"
"0x88c322558566328f5e25ee5b05042a347e2ae6ff","1,010,302.535832544750732326","No"
"0x2136f8e2a4d350c79cc3817df91295b471cd36e3","1,000,000.81269551919234226","No"
"0x448374a11f44ba0e2bed535e578893bbd5935bfd","1,000,000.66767447840512232","No"
"0xfb5c2b319471b475187fa74097d0ac2d99ec7ac3","1,000,000.000000097176458444","No"
"0x9c6a067e9b97744c9355d3e5774511b724fe9b74","985,820.250661385485038769","No"
"0x267ef77b8a6e1b27c9b48079ca6d74493a0ef3e4","948,031.078464002725143106","No"
"0x966432058ff843a61f6dcb05716e787229492232","941,846.595914352659414305","No"
"0x348b472797a82e3f9a1f9db8445d582a5e132ce6","897,600.439916145073555828","No"
"0xa32c7284e2772644f5aaabeb402f6636bc522055","886,700.555577069733981579","No"
"0x7995246917222ac87c4e394ebd4805b3730e3831","876,264.950191514709566589","No"
"0xdeb07d7cae3347568aaf692b77e4bfb52c05d99a","873,095.480677814190105052","No"
"0xaaf6d051ce5a846b1c32042b38aaeb19b2067e73","863,574.128883922712828162","No"
"0xfd727e3c749958bac62f29d587037c2fb63aba79","849,260.25841286","No"
"0x3a238952e78a3a9d6b43ea25d18cb44abf868644","836,598.877425169921094552","No"
"0xb5420b0f968a78c6f1e1e802f564cd54ee7b32cf","808,499.565975776104836111","No"
"0x4a58427c92a86784baaa94e0322e1c37a41d564b","777,784.78783254015425","No"
"0x3aeff960e5ce90c6c2e4ef8129939a4c3a384f1b","704,120.906095316778397209","No"
"0x5a04f936fe3ca669a70223fa1037b56d16554142","694,312.75042098552374076","No"
"0xefe0cb266f3c33599a6ed8e0dbffc3f6523baaf5","675,171.146376243425452297","No"
"0xfe94ac1f27536bac727989fbda64766f7d03746a","661,084.242016463980910041","No"
"0xb322e497dfedbb228354a4d4c43c966bd969d925","632,391.224744909363850268","No"
"0xcf1fa6c64a52cf0076c6c9b81d6bfc6f7cca8fee","626,463.787509298597382841","No"
"0x2085d1a684d65aa1fb27a432ddb747c1f87f6478","611,821.291062000361559838","No"
"0x2a59a6ebf553da513797b4150a3eb074e2e3acea","602,123.083486278177044931","No"
"0x125bb13f77f3565d421bd22e92aaffc795d97a72","586,920","No"
"0x3e71454d7053d48a498c97ff2cdbb65191e23760","583,776.992302178755653987","No"
"0xf0004536596b6cfd826757b6a771623ebc691658","578,547.058292425371247332","No"
"0x11253ca1ad37760cee998f784b054e3451aa108b","577,877.6","No"
"0xaf779d1eddb59f1035480dd377d8187c865c20da","556,798.766985812171519078","No"
